Subject ,Complaint Number,Province,"Municipality / 
City",Barangay,Sitio,Longitude,Latitude,"Google Map Link
(Location Point)",Nature of Reported Illegal Act,Type of Commodity (Non-metallics),Actions Taken,Details ,"Date of
Action Taken (mm/dd/yyyy)",Laws Violated,No. of CDO Issued,Date Issued (mm/dd/yyyy),Remarks
"Alleged illegal sand and gravel extraction at Sitio Talisay, Brgy. Pagsangahan, San Francisco, Quezon",MMD-IMC No. 2024-18,Quezon,San Francisco,Pagsangahan,Talisay,13° 12’ 40” N,122° 39’ 46” E,"https://www.google.com/maps/search/?api=1&query=13° 12’ 40” N, 122° 39’ 46” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,A field investigation was conducted on 20 March 2024 by the Community Environment and Natural Resources Office of Catanauan and Barangay Local Government Unit of Pagsangahan.,3/20/2024,Theft of Minerals (Section 103 of RA 7942),7,4/24/24,"Cease and Desist Orders dated 4/24/2024 to Messrs. Antonio Lipogpog, Bejaysonvelle Gailan, Billy Rusia, Kennedy Calipay, and Ruperto Salimbot, and Mesdames Belilia Rusia and Claire Santiago; Letter-Warning dated 4/24/2024 to Mr. Josemarie P. Desabille, Barangay Chairman of Pagsangahan' Letter dated 4/24/2024 to Complainant

Monitoring Report dated 5/28/2024 of CENRO Catanauan wherein it was found that no recent or active mining-related activities were observed within the vicinity"
Alleged illegal quarrying activities within Mounts Banahaw and San Cristobal Protected Landscape ,MMD-IMC No. 2024-19,Quezon,Sariaya,Sto. Cristo and Sampaloc II,ND," 13°59'40.17"" N","121°29'34.62"" E","https://www.google.com/maps/search/?api=1&query=13°59'40.17"" N, 121°29'34.62"" E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 18-19 April 2024 by this Office, together with representatives from the Provincial Mining Regulatory Board of Quezon.","4/18/2024 - 
4/19/2024",Not Applicable,NA,NA,"Investigation Report dated 4/17/2024 from CENRO Tayabas; With Letter dated 5/22/2024 to Provincial Government of Quezon endorsing the said Investigation Report

Letter dated 4/24/2024 to the Provincial Government of Quezon and Memorandum dated 4/24/2024 to Undersecretary for Field Operations  informing them about the findings during the conduct of investigation"
"Alleged illegal quarrying activity in Brgy. Gulang-Gulang, Lucena, Quezon",MMD-IMC No. 2024-20,Quezon,Lucena,Gulang-Gulang,ND,13.9666° N,121.6039° E,"https://www.google.com/maps/search/?api=1&query=13.9666° N, 121.6039° E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 01 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas and Barangay Local Government Unit of Gulang-Gulang.",4/1/2024,Not Applicable,NA,NA,Letter dated 4/25/2024 to the Complainant
"Alleged illegal quarrying activity in Barangay Kinagunan Ibaba, Padre Burgos, Quezon",MMD-IMC No. 2024-21,Quezon,Padre Burgos,Kinagunan Ibaba,ND,13° 53’ 04” N,121° 54’ 18” E,"https://www.google.com/maps/search/?api=1&query=13° 53’ 04” N, 121° 54’ 18” E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 26 March 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas.",3/26/2024,Not Applicable,NA,NA,Letter dated 4/25/2024 to the Municipal Mayor of Padre Burgos
"Alleged illegal extraction activity in Barangay Kalilayan Ibaba, Unisan, Quezon",MMD-IMC No. 2024-22,Quezon,Unisan,Kalilayan Ibaba,ND,13° 50’ 36” N,121° 58’ 11” E,"https://www.google.com/maps/search/?api=1&query=13° 50’ 36” N, 121° 58’ 11” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Earth Materials,Conducted Investigation,"A field investigation was conducted on 26 March 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas and Municipal Environment and Natural Resources Office of Unisan.",3/26/2024,Theft of Minerals (Section 103 of RA 7942),1,4/25/2024,Cease and Desist Order dated 4/25/2024 to Ms. Elvira T. Ramirez
"Alleged illegal quarrying activity in Barangay Marao, Padre Burgos, Quezon",MMD-IMC No. 2024-23,Quezon,Padre Burgos,Marao,ND,13° 54’ 33” N,121° 49’ 48” E,"https://www.google.com/maps/search/?api=1&query=13° 54’ 33” N, 121° 49’ 48” E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 26 March 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas.",3/26/24,Not Applicable,NA,NA,Letter dated 4/25/2024 to the Municipal Mayor of Padre Burgos
"Alleged illegal quarrying activity in Barangay Muliguin, Unisan, Quezon",MMD-IMC No. 2024-24,Quezon,Unisan,Muliguin,ND,13.831168° N,122.003757° E,"https://www.google.com/maps/search/?api=1&query=13.831168° N, 122.003757° E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 26 March 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas.",3/26/24,Not Applicable,NA,NA,Letter dated 4/25/2024 to the Provincial Governor of Quezon
"Alleged illegal quarrying activity in Brgy. Concepcion-Pinagbakuran, Sariaya, Quezon",MMD-IMC No. 2024-25,Quezon,Sariaya,"Concepcion-
Pinagbakuran",ND," 13°59'11.26""N","121°29'16.75""E","https://www.google.com/maps/search/?api=1&query=13°59'11.26""N, 121°29'16.75""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 15 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas and Protected Area Management Office of Mounts Banahaw and San Cristobal Protected Landscape.",4/15/2024,Not Applicable,NA,NA,Letter dated 4/29/2024 to Tanggol Kalikasan
"Alleged illegal quarrying in Brgy. Tranca, Talisay, Batangas",MMD-IMC No. 2024-26,Batangas,Talisay,Tranca,ND,14° 7’ 8” N,   121° 3’ 26” E,"https://www.google.com/maps/search/?api=1&query=14° 7’ 8” N, 121° 3’ 26” E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 29 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa, Municipal Environment and Natural Resources Office of Talisay, and Barangay Local Government Unit of Tranca.",4/29/2024,Not Applicable,NA,NA,"NA; No actions taken; For further investigation

Memorandum dated 5/30/2024 from DENR IV to MGB IV endorsing the Initial Investigation Report dated 4/30/2024"
"Alleged illegal quarrying in Brgy. Tranca, Talisay, Batangas",MMD-IMC No. 2024-26B,Batangas,Talisay,Tranca,ND,14° 7’ 8” N,   121° 3’ 26” E,"https://www.google.com/maps/search/?api=1&query=14° 7’ 8” N, 121° 3’ 26” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"Field investigations were conducted on 04 June 2024, and 20 June 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa.",6/4/2024 & 6/20/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"No actions taken

The actions taken by CENRO is enough  already to establish monitoring in the area by the LGU concerned. The perpetrators were not found on site and seemed to have ceased the operations, hence, monitoring is the only needed action. "
"Alleged illegal small-scale mining operations at Sitio Lagbong, Barangay Mapulot, Tagkawayan, Quezon",MMD-IMC No. 2024-27,Quezon,Tagkawayan,Mapulot,Lagbong,14° 1’ 33” N,   122° 34’ 58” E,"https://www.google.com/maps/search/?api=1&query=14° 1’ 33” N, 122° 34’ 58” E",Illegal Small-Scale Mining,Gold,Conducted Investigation,"A field investigation was conducted on 22-23 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag and Barangay Local Government Unit of Mapulot","4/22/2024 - 
4/23/2024",Violation of RA 7076 (Section 27 of RA 7076),0,NA,Letters dated 5/20/2024 to Complainant and National Bureau of Investigation
"Alleged illegal quarrying in Brgy. Dumuclay, Batangas City, Batangas",MMD-IMC No. 2024-28,Batangas,Batangas City,Dumuclay,ND,13.74535° N,121.105768° E,"https://www.google.com/maps/search/?api=1&query=13.74535° N, 121.105768° E",Illegal Transport/Export of Minerals/Products/By-Products,Filling Materials,Conducted Investigation,"A field investigation was conducted on 24 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa and Barangay Local Government Unit of Dumuclay,",4/24/2024,Illegal Transport (Section 110 of RA 7942),1,5/20/24,"Letters dated 5/20/2024 to Complainant and City Mayor of Batangas City; Memorandum dated 5/20/2024 to EMB RO No. IV CALABARZON; Cease and Desist Order dated 5/20/2024 to Sun View Property Ventures, Inc. 

Memorandum dated 6/4/2024 from DENR IV to MGB IV, recommending the issuance of Notice of Violation for the illegal transport and disposal of eath materials, in view of the 25 April 2024 Investigation Report of CENRO Lipa"
"Alleged illegal quarrying in Brgy. Talisay, Lipa City, Batangas",MMD-IMC No. 2024-29,Batangas,Lipa City,Talisay,ND,13.968967° N,121.211798° E,"https://www.google.com/maps/search/?api=1&query=13.968967° N, 121.211798° E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 24 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa.",4/24/2024,Not Applicable,NA,NA,Letter dated 5/21/2024 to the City Mayor of Lipa and Barangay Chairman of Talisay
"Alleged illegal quarrying in Brgy. Tagabas Ibaba, Catanauan, Quezon",MMD-IMC No. 2024-30,Quezon,Catanauan ,Tagabas Ibaba,ND," 13°37'59""N","122°16'18""E","https://www.google.com/maps/search/?api=1&query=13°37'59""N, 122°16'18""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,Field investigations were conducted on 19 and 23 April 2024 by the Community Environment and Natural Resources Office of Catanauan and Barangay Local Government Unit of Tagabas Ibaba.,"4/19/2024 &
4/23/2024",Theft of Minerals (Section 103 of RA 7942),1,5/20/24,"Letter dated 5/20/2024 to Complainant; Cease and Desist Order dated 5/20/2024 to Mr. Felicito Perlas, Barangay Chairman of Tagabas Ilaya; Letter-Warning dated 5/20/2024 to Mr. Domingo P. Porley, Jr., Barangay Chairman of Tagabas Ibaba

Monitoring Report dated 6/21/2024 of CENRO Catanauan; No recent or active earthmoving activity was noted within the vicinity. Moreso, the condition of the excavated area remains the same, as observed during the 19 and 23 April 2024 field investigation

Letter dated 08/06/2024 of Mr. Bieto L. Gonzales re Possible Filing of Case against Messrs. Domingo P. Porley, Jr. and Felicito Perlas

Letter-Reply dated 08/20/2024 of MGB 4A to Mr. Bieto L. Gonzales re Possible Filing of Case"
"Alleged illegal sand and gravel extraction in Brgy. Salinas, Lucena, Quezon",MMD-IMC No. 2024-31,Quezon,Lucena,Salinas,ND,ND,ND,ND,Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 29 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas and Barangay Local Government Unit of Salinas",4/29/2024,Theft of Minerals (Section 103 of RA 7942),1,5/20/24,Cease and Desist Order dated 5/20/2024 to Mr. Severino Causapin; Letter dated 5/20/2024 to Complainant
"Alleged illegal quarrying at Sitio Gupiing, Brgy. Lunsad, Binangonan, Rizal",MMD-IMC No. 2024-32,Rizal,Binangonan,Lunsad,Gupiing,14°27’25” N,121°12’11” E,"https://www.google.com/maps/search/?api=1&query=14°27’25” N, 121°12’11” E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 13 May 2024 by the Embedded Technical Personnel of this Office assigned at the Provincial Environment and Natural Resources Office of Rizal, together with representatives from the Barangay Local Government Unit of Lunsad.",5/13/2024,Not Applicable,NA,NA,Letters dated 5/20/2024 to Municipal Mayor of Binangonan and Complainant
"Alleged illegal quarrying in Brgy. Balintawak, Lipa City, Batangas",MMD-IMC No. 2024-33,Batangas,Lipa,Balintawak,ND," 13°57'15.81""N","121° 9'53.18""E","https://www.google.com/maps/search/?api=1&query=13°57'15.81""N, 121° 9'53.18""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 24 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa.",5/17/2024,Not Applicable,NA,NA,"Letters dated 5/22/2024 to Complainant and Department of Public Works and Highways - Batangas 4th District Engineering Office

Memorandum dated 6/26/2024 from DENR 4A endorsing the 5/17/2024 Investigation Report"
"Alleged illegal quarrying activities in San Isidro, Lemery, Batangas",MMD-IMC No. 2024-35,Batangas,Lemery,San Isidro,ND, 13.937594° N,120.886704° E,"https://www.google.com/maps/search/?api=1&query=13.937594° N, 120.886704° E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 20 May 2024 by this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca and Municipal Environment and Natural Resources Office of Lemery, Batangas.",5/20/2024,Theft of Minerals (Section 103 of RA 7942),1,6/5/24,Cease and Desist Order dated 6/05/2024 to Mr. Cresenciano Reyes; Letter dated 6/05/2024 to Provincial Governor; Letter dated 6/05/2024 to Municipal Mayor; Memorandum dated 6/05/2024 to MGB CO; Memorandum dated 6/05/2024 to DENR Action Center
"Alleged illegal sand extraction activity in Brgy. Tuhian, Catanauan, Quezon",MMD-IMC No. 2024-36,Quezon,Catanauan ,Tuhian,ND," 13°36'29.00"" N","122°12'52.81"" E","https://www.google.com/maps/search/?api=1&query=13°36'29.00"" N, 122°12'52.81"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 10 May 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Catanauan and Barangay Local Government Unit of Tuhian.",5/10/2024,Theft of Minerals (Section 103 of RA 7942),2,5/22/24,"Cease and Desist Orders dated 5/22/2024 to Messrs. Guilmar Ceceliano and Roberto De Imus; Letter dated 5/22/2024 to Complainant

Monitoring Report dated 18 June 2024 wherein no recent or active mining-related activies were undertaken within the vicinity; Moreover, the condition of the subject area remains the same, as observed from the previous investigation"
"Alleged illegal quarrying operation in Brgy. Gulod, Lemery, Batangas",MMD-IMC No. 2024-37,Batangas,Lemery,Gulod,ND, 13.931268° N,120.877165° E,"https://www.google.com/maps/search/?api=1&query=13.931268° N, 120.877165° E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 20 May 2024 by this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca and Municipal Environment and Natural Resources Office of Lemery, Batangas.",5/20/2024,Not Applicable,NA,NA,Letter to Provincial Governor dated 5/28/2024; Memorandum dated 5/28/2024 to DENR Action Center/Hotline
"Alleged illegal extraction of river materials along Lobo River, Soloc-Sawang River, and Banolo River ",MMD-IMC No. 2024-38,Batangas,Lobo,ND,ND," 13°37'47.13"" N","121°14'57.60"" E","https://www.google.com/maps/search/?api=1&query=13°37'47.13"" N, 121°14'57.60"" E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 20 May 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa and Municipal Environment and Natural Resources Office of Lobo.",5/20/2024,Not Applicable,NA,NA,Letter dated 5/31/2024 to Complainant
"Alleged illegal extraction of earth materials in Brgy. San Celestino, Lipa, Batangas",MMD-IMC No. 2024-39,Batangas,Lipa,San Celestino,ND,ND,ND,ND,Illegal Transport/Export of Minerals/Products/By-Products,Earth Materials,Conducted Investigation,"A field investigation was conducted on 23 May 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa.",5/23/2024,Illegal Transport (Section 110 of RA 7942),3,5/30/24,"Letter dated 5/30/2024 to City Mayor of Lipa; Cease and Desist Orders dated 5/30/2024 to Messrs. Leon Arcega and Aniceto Hirang, and Ms. Esther Lasat"
"Alleged illegal quarrying in Brgy. Castañas, Sariaya, Quezon",MMD-IMC No. 2024-40,Quezon,Sariaya,Castañas,ND," 13°52'33.71"" N","121°33'2.90"" E","https://www.google.com/maps/search/?api=1&query=13°52'33.71"" N, 121°33'2.90"" E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 25 April 2024 by the embedded
technical personnel of this Office together with the representatives from the Community Environment and Natural Resources Office of Tayabas.",4/25/2024,Not Applicable,NA,NA,"Letters dated 06/06/2024 to Mr. Rafael N. Tantuco, Sr. and Ms. Leticia V. Lubi"
"Alleged illegal extraction and disposition of beach sand in Brgy. Pinagtubigan Weste, Perez, Quezon",MMD-IMC No. 2024-41,Quezon,Perez,Pinagtubigan Weste,ND," 14°11'02"" N","121°55'52"" E","https://www.google.com/maps/search/?api=1&query=14°11'02"" N, 121°55'52"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 15 May 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag, Municipal Environment and Natural Resources Office of Perez, and Perez Municipal Police Station.",5/15/2024,Batas Pambansa 265,0,NA,Letter-Warning dated 6/3/2024 to Mr. Antonio Leria
"Alleged illegal mining/treasure Halang na Gubat Lubigan, Brgy. Plaza Aldea, Tanay, Rizal",MMD-IMC No. 2024-42,Rizal,Tanay,Plaza Aldea,Halang na Gubat," 14°31'34"" N","121°18'22"" E","https://www.google.com/maps/search/?api=1&query=14°31'34"" N, 121°18'22"" E",Not Illegal Mining,Not Applicable,Endorsed to Other Office (Please Specify),Endorsed the matter to National Commission for Culture and the Arts,6/10/2024,Not Applicable,NA,NA,Letter dated 6/10/2024 to NCCA 
"Alleged illegal mining operations of a certain Floro Llagas at Sitio Malalim, Brgy. San Juan, Baras, Rizal",MMD-IMC No. 2024-43,Rizal,Baras,San Juan,Malalim,14°33’24” N,121°17’4” E,"https://www.google.com/maps/search/?api=1&query=14°33’24” N, 121°17’4” E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 17 May 2024 by the Embedded Technical Personnel of this Office assigned at the Provincial Environment and Natural Resources Office of Rizal, together with representatives from the Municipal Environment and Natural Resources Office of Baras.",5/17/2024,Not Applicable,NA,NA,Letters dated 6/20/2024 to Complainant and National Commission for Culture and the Arts; Memorandum dated 6/20/2024 to MGB Central Office
"Alleged illegal digging/ treasure hunting activity in Brgy. Biyan, Calauag, Quezon",MMD-IMC No. 2024-44,Quezon,Calauag,Biyan,ND,ND,ND,ND,Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 13 May 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag and Barangay Local Government Unit of Biyan.",5/13/2024,Not Applicable,NA,NA,Letter dated 6/20/2024 to National Commission for Culture and the Arts
"Alleged illegal quarrying operation in Brgy. Castanas, Sariaya, Quezon",MMD-IMC No. 2024-46,Quezon,Sariaya,Castañas,ND,ND,ND,ND,Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 13 May 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas.",5/13/2024,Not Applicable,NA,NA,"No actions needed; No violations committed; Anonymous complaint was lodged with the CENRO

Memorandum dated 6/26/2024 from DENR 4A endorsing the 5/14/2024 Investigation Report"
"Alleged illegal quarrying operations within the Municipalities of Infanta and Real, Quezon",MMD-IMC No. 2024-47,Quezon,Infanta and Real,"Gumian
Cawayan and Poblacion I",ND,14° 42’ 10.913” N,121° 36’ 51.507” E,"https://www.google.com/maps/search/?api=1&query=14° 42’ 10.913” N, 121° 36’ 51.507” E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 05-06 June 2024 by this Office, together with the operatives of the National Bureau of Investigation – Environmental Crime Division in the Municipalities of Infanta and Real, Province of Quezon.","6/5/2024 - 
6/6/2024",Not Applicable,NA,NA,Letters dated 6/24/2024 to Municipal Mayor of Infanta and Provincial Governor of Quezon
"Alleged illegal rock digging at Sitio Bunot, Brgy. Lunsad, Binangonan, Rizal",MMD-IMC No. 2024-48,Rizal,Binangonan,Bunot,Lunsad,ND,ND,ND,Others(Please Specify in Remarks),Araal Stone,Conducted Investigation,A field investigation was conducted on 10 June 2024 by the Embedded Technical Personnel of this Office assigned at the Provincial Environment and Natural Resources Office of Rizal.,6/10/2024,Illegal Trading (Section 110 of RA 7942),0,NA,Letters dated 6/24/2024 to Complainant and National Bureau of Investigation; Letter dated 6/27/2024 to Municipal Mayor of Binangonan 
"Alleged illegal digging/treasure hunting activity in Brgy. Mambaling, Calauag, Quezon",MMD-IMC No. 2024-49,Quezon,Calauag,Mambaling,ND,13° 55’ 55” N,122° 20’ 44” E,"https://www.google.com/maps/search/?api=1&query=13° 55’ 55” N, 122° 20’ 44” E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 04 June 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag and Barangay Local Government Unit of Mambaling.",6/4/2024,Not Applicable,NA,NA,Letter dated 6/24/2024 to National Commission for Culture and the Arts
"Alleged illegal transport and disposal of earth materials in Brgy. Manaol, Nagcarlan, Laguna",MMD-IMC No. 2024-50,Laguna,Nagcarlan,Manaol,ND," 14°10'4.06""N","121°21'20.69""E","https://www.google.com/maps/search/?api=1&query=14°10'4.06""N, 121°21'20.69""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 29 April 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Provincial Government-Environment and Natural Resources Office of Laguna.",4/29/2024,Not Applicable,NA,NA,"No Actions Needed; The operation is covered by pertinent permits/clearances. In addition, no violations were observed.

With Letter dated 5/30/2024 to the Municipal Government of Nagcarlan informing the same that the requirements, i.e., Environmental Compliance Certificate, Development Permit, and Special Permit to Transport and Dispose, among others, seem to be in order for the conduct of its operation"
"Alleged illegal extraction of sand in Brgy. Ilosong, Plaridel, Quezon",MMD-IMC No. 2024-51,Quezon,Plaridel,Ilosong,ND," 13°56'23""N","122°0'22""E","https://www.google.com/maps/search/?api=1&query=13°56'23""N, 122°0'22""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 23 May 2024 by the Embedded Technical Personnel of this Office, together with personnel from the Community Environment and Natural Resources Office of Calauag.",5/23/2024,Theft of Minerals (Section 103 of RA 7942),1,6/25/2024,"Cease and Desist Order dated 6/25/2024 to Mr. Joshua R. Larita; Letter-Warning dated 6/25/2024 to the Barangay Chairman of Ilosong; and Letter-Warning dated 6/25/2024 to the Barangay Chairman of Duhat; Letter dated 7/4/2024 to National Irrigation Administration 4A

Monitoring Report dated 8/13/2024 from CENRO Calauag wherein it was found that Mr. J. R. Larita heed with the issued CDO (no illicit operations were undertaken and planted 300 different types of seedlings)

NIA R4A, in its Memorandum dated 8/19/2024, informed this Office that Mr. J. R. Larita has already planted 300 trees  in Brgy. Duhat, Plaridel, Quezon, as witnessed by the Baranay Chairman of Duhat and MENRO of Plaridel

Letter-Reply dated 8/30/2024 to NIA R4A acknowledge receipt of its Memorandum"
"Alleged illegal extraction of beach sand in Brgy. Himbubulo Este, Guinayangan, Quezon",MMD-IMC No. 2024-53,Quezon,Guinayangan,Himbubulo Este,ND," 13°52'36""N","122°27'57""E","https://www.google.com/maps/search/?api=1&query=13°52'36""N, 122°27'57""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 30 May 2024 by the Embedded Technical Personnel of this Office, together with a representative from the Patrol Sector of Guinayangan.",5/30/2024,Batas Pambansa 265,1,6/27/24,"Cease and Desist Order dated 6/27/2024 to Mr. Remar Apolonio; Letter dated 26/27/2024  to Hon. Nestor A. Cueto, Barangay Chairman of Himbubulo Este"
"Alleged illegal excavation in Brgy. Mabutag, Buenavista, Quezon",MMD-IMC No. 2024-54,Quezon,Buenavista,Mabutag,ND,ND,ND,ND,Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 04 June 2024 by this Office, together with the Embedded Technical Personnel assigned at the Community Environment and Natural Resources Office of Catanauan.",6/3/2024,Not Applicable,NA,NA,Memorandum dated 6/28/2024 to DENR Regional Office IV-A
"Concerns on potential subsidence, landslides, and deforestation resulting from the quarrying activities in Brgy. Sta. Clara, Sto. Tomas,  Batangas",MMD-IMC No. 2024-55,Batangas,Sto. Tomas,Sta. Clara,ND,14.011374°,121.220683°,"https://www.google.com/maps/search/?api=1&query=14.011374°, 121.220683°",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 06 June 2024 by the Embedded Technical Personnel of this Office, together with technical personnel from the Community Environment and Natural Resources Office of Lipa.",6/6/2024,Not Applicable,NA,NA,Letter dated 6/27/2024 to Provincial Governor of Batangas
"Alleged land encroachment of the quarry operations on a private lot in Brgy. Toong, Tuy, Batangas",MMD-IMC No. 2024-56,Batangas,Toong,Tuy,ND," 14°3'36""N","120°46'55""E","https://www.google.com/maps/search/?api=1&query=14°3'36""N, 120°46'55""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 06 June 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca and Barangay Local Government Unit of Toong.",6/6/2024,Theft of Minerals (Section 103 of RA 7942),1,7/1/24,"Cease and Desist Order dated 7/1/2024 to Mr. Gian Nicolo Ocampo; Letter dated 7/1/2024 to Provincial Governor of Batangas; Letter dated 7/1/2024 to Complainant

Surveillance Report dated 8/27/2024 of CENRO Calaca wherein it was found that no mining activities were being undertaken and that no equipment was present in the quarry area; CENRO Calaca will conduct continuous monitoring to ensure the compliance of Mr. G. N. Ocampo with the issued CDO"
"Alleged illegal quarry operations in Brgy. Toong, Tuy, Batangas",MMD-IMC No. 2024-56B,Batangas,Toong,Tuy,ND," 14°3'36""N","120°46'55""E","https://www.google.com/maps/search/?api=1&query=14°3'36""N, 120°46'55""E",Others(Please Specify in Remarks),Not Applicable,Conducted Investigation,"A field investigation was conducted on 16 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca and Barangay Local Government Unit of Toong.",8/16/2024,Not Applicable,NA,NA,"Memorandum dated 8/16/2024 from MGB CO endorsing the Complaint of Ms. Maritess Apolona with Tracking No. ACER4A-20240814-001

Letter dated 8/30/2024 to Complainant (copy furnished MGB CO, DENR 4A, DENR Action Center/Hotline, DENR CO, PENRO Batangas, and CENRO Calaca)"
"Alleged illegal treasure hunting/mining in Brgy. Matikiw, Pakil, Laguna",MMD-IMC No. 2024-57,Laguna,Pakil,Matikiw,ND," 14°21'40.29""N","121°22'21.83""E","https://www.google.com/maps/search/?api=1&query=14°21'40.29""N, 121°22'21.83""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 04 April 2024 by the Embedded Technical Personnel of this Office, together with technical personnel from the Provincial Government - Environment and Natural Resources Office of Laguna.",4/4/2024,Not Applicable,NA,NA,Memorandum dated 6/11/2024 to DENR RO No. IV CALABARZON
"Alleged illegal mining/treasure hunting activity in Brgy. Sucol, Calamba, Laguna",MMD-IMC No. 2024-58,Laguna,Calamba,Sucol,ND,14.180226°,121.19894°,"https://www.google.com/maps/search/?api=1&query=14.180226°, 121.19894°",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 11 June 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Provincial Government – Environment and Natural Resources Office of Laguna.",6/11/2024,Not Applicable,NA,NA,Letter dated 7/1/2024 to National Commission for Culture and the Arts
